TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
10042-88-3,N090,144-49-0,2696-92-6,N458,51404-69-4,9002-85-1,334-88-3,,1121649-70-4,,,1336-36-3
1004294-95-4,N096,62-74-8,288-94-8,N495,69011-06-9,108-90-7,371-62-0,,1267611-11-9,,,1338-16-5
10043-01-3,TB1,359-06-8,353-50-4,N590,120-71-8,118-74-1,373-02-4,,163985,,,134-29-2
10043-11-5,N106,51-21-8,354-32-5,N725,142731-63-3,608-93-5,420-12-2,,115254-47-2,,,134-32-7
1004312-45-1,N230,944-22-9,3563-36-8,75-86-5,186825-36-5,106-46-7,421-01-2,,1392095-50-9,,,1345-04-6
10043-22-8,N420,107-16-4,40334-69-8,116-06-3,17404-66-9,25321-22-6,463-51-4,,167943,,,13463-67-7
10043-27-3,N450,23422-53-9,40334-70-1,309-00-2,52427-13-1,541-73-1,506-96-7,,1200806-67-2,,,13483-18-6
10043-35-3,N458,2540-82-1,40881-98-9,107-18-6,30784-30-6,95-50-1,513-37-1,,118400-71-8,,,135-20-6
10043-52-4,TB7,17702-57-7,4109-96-0,107-11-9,142731-65-5,12408-10-5,540-88-5,,1485477-78-8,,,135-88-6
100-43-6,N495,21548-32-3,4484-72-4,20859-73-8,174305-83-0,634-66-2,540-59-0,,1651187-84-6,,,136-40-3
10043-67-1,N590,3878-19-1,460-19-5,7664-41-7,521947-27-3,634-90-2,540-84-1,,103697-96-7,,,137-17-7
1004-38-2,R,110-00-9,463-49-0,7783-70-2,58865-77-3,95-94-3,541-85-5,,160180,,,137-26-8
10043-83-1,N725,13450-90-3,463-82-1,1303-28-2,186825-39-8,108-70-3,541-41-3,,1051371-21-1,,,137-30-4
10043-84-2,,4835-11-4,4732-14-3,1327-53-3,142731-55-3,12002-48-1,542-75-6,,168113-88-0,,,138-59-0
10043-91-1,,74-90-8,504-60-9,7784-34-1,95-80-7,120-82-1,543-27-1,,153889,,,139-05-9
1004-39-3,,7722-84-1,506-77-4,7784-42-1,60-09-3,87-61-6,563-80-4,,101974,,,139-13-9
1004-40-6,,7783-07-5,506-96-7,98-87-3,2497-59-8,2354-06-5,563-47-3,,15827-56-2,,,139-65-1
